PG-BSM Model Fit Output - 05-Aug-2020

Branch Length Estimates

Daughter    Nul    BW    CW    rCW    nulRaMoSS    altRaMoSS    Parent
1	1.41	1.41	1.41	1.41	1.37	1.42	17
2	1.15	1.15	1.15	1.15	1.12	1.15	16
3	1.73	1.74	1.73	1.73	1.7	1.73	16
4	0.22	0.22	0.22	0.22	0.21	0.22	20
5	0.25	0.25	0.25	0.25	0.25	0.25	19
6	0.08	0.08	0.08	0.08	0.08	0.08	18
7	0.04	0.04	0.04	0.04	0.04	0.04	18
8	0.29	0.29	0.29	0.29	0.29	0.29	22
9	0.35	0.36	0.35	0.35	0.35	0.35	22
10	0.87	0.87	0.87	0.87	0.85	0.87	25
11	0.14	0.14	0.14	0.14	0.14	0.14	24
12	0.05	0.05	0.05	0.05	0.05	0.05	23
13	0.06	0.06	0.06	0.06	0.05	0.06	23
14	0.71	0.71	0.7	0.71	0.69	0.71	26
15	0.76	0.76	0.76	0.76	0.75	0.77	26
16	0.35	0.35	0.35	0.35	0.36	0.35	17
17	2.08	2.01	2.08	2.08	2.12	2.14	21
18	0.23	0.23	0.23	0.23	0.23	0.23	19
19	0.03	0.03	0.03	0.03	0.04	0.03	20
20	1.35	1.36	1.35	1.35	1.36	1.38	21
21	0.23	0.23	0.23	0.23	0.21	0.22	29
22	0.37	0.37	0.37	0.37	0.34	0.36	28
23	0.1	0.1	0.1	0.1	0.1	0.1	24
24	0.43	0.43	0.43	0.43	0.42	0.43	25
25	0.17	0.17	0.17	0.17	0.17	0.16	27
26	0.1	0.1	0.1	0.1	0.1	0.1	27
27	0.07	0.07	0.07	0.07	0.08	0.06	28
28	0.23	0.23	0.23	0.23	0.21	0.22	29

Log Likelihoods

Nul: -28715
BW: -28715
CW: -28715
rCW: -28715
nulRaMoSS: -28752
altRaMoSS: -28690

Nul PG-BSM MLEs

pi0     w1     w2     p1     delta     kappa     lambda
0.22	0.04	0.4	0.68	0.2	2.13	0.5	

BW PG-BSM MLEs

pi0     w1     w2     p1     delta     kappa     lambda     piBW
0.22	0.04	0.4	0.68	0.2	2.13	0.5	0.01	

CW PG-BSM MLEs

pi0     w1     w2     p1     delta     kappa     lambda     piCW
0.22	0.04	0.4	0.68	0.2	2.13	0.5	0	

rCW PG-BSM MLEs

pi0     w1     w2     p1     delta     kappa     lambda     pirCW
0.22	0.04	0.4	0.68	0.2	2.13	0.5	0	

nulRaMoSS MLEs

piCL    w1M3    w2M3    p1M3    w1CL    w2CL    p1CL    delta    kappa
0.71	0	0.45	0.7	0.05	0.16	0.5	0	2.09	

altRaMoSS MLEs

piCL    w1M3    w2M3    p1M3    w1CL    w2CL    p1CL    delta    kappa
0.63	0	0.44	0.76	0	0.37	0.64	0.79	2.13	

BW PG-BSM Posteriors

site     P(w=0)        P(w1<->w2)       P(BW)
590	0.000		0.981		0.019		
844	0.000		0.981		0.019		
130	0.000		0.981		0.019		
12	0.000		0.982		0.018		
727	0.000		0.982		0.018		
233	0.000		0.982		0.018		
475	0.000		0.982		0.018		
310	0.000		0.982		0.018		
599	0.000		0.983		0.017		
945	0.000		0.983		0.017		
981	0.000		0.983		0.017		
657	0.000		0.984		0.016		
411	0.000		0.984		0.016		
307	0.000		0.984		0.016		
577	0.000		0.984		0.016		
656	0.000		0.984		0.016		
1048	0.000		0.984		0.016		
164	0.000		0.985		0.015		
72	0.000		0.985		0.015		
103	0.000		0.986		0.014		
958	0.000		0.986		0.014		
831	0.000		0.986		0.014		
905	0.000		0.986		0.014		
715	0.000		0.986		0.014		
838	0.000		0.987		0.013		
543	0.000		0.987		0.013		
1045	0.000		0.987		0.013		
146	0.000		0.988		0.012		
655	0.000		0.988		0.012		
826	0.000		0.988		0.012		
402	0.000		0.988		0.012		
886	0.000		0.988		0.012		
345	0.000		0.989		0.011		
17	0.000		0.989		0.011		
171	0.000		0.989		0.011		
242	0.000		0.989		0.011		
922	0.000		0.989		0.011		
813	0.000		0.99		0.01		
769	0.000		0.99		0.01		
317	0.000		0.99		0.01		
834	0.000		0.991		0.009		
703	0.000		0.991		0.009		
936	0.000		0.991		0.009		
854	0.000		0.992		0.008		
773	0.000		0.992		0.008		
962	0.000		0.992		0.008		
113	0.000		0.992		0.008		
209	0.000		0.992		0.008		
1049	0.000		0.993		0.007		
1057	0.000		0.993		0.007		
1046	0.000		0.993		0.007		
814	0.000		0.993		0.007		
947	0.000		0.993		0.007		
1025	0.000		0.993		0.007		
560	0.000		0.993		0.007		
500	0.000		0.993		0.007		
1012	0.000		0.993		0.007		
38	0.000		0.993		0.007		
144	0.000		0.993		0.007		
287	0.000		0.993		0.007		
524	0.000		0.993		0.007		
883	0.000		0.993		0.007		
777	0.000		0.993		0.007		
141	0.000		0.993		0.007		
1059	0.000		0.993		0.007		
553	0.000		0.993		0.007		
863	0.000		0.993		0.007		
829	0.000		0.993		0.007		
614	0.000		0.993		0.007		
998	0.000		0.994		0.006		
1069	0.000		0.994		0.006		
499	0.000		0.994		0.006		
788	0.000		0.994		0.006		
10	0.000		0.994		0.006		
806	0.000		0.994		0.006		
196	0.000		0.994		0.006		
26	0.000		0.994		0.006		
350	0.000		0.994		0.006		
530	0.000		0.994		0.006		
756	0.000		0.994		0.006		
174	0.000		0.994		0.006		
122	0.000		0.994		0.006		
907	0.000		0.994		0.006		
1060	0.000		0.994		0.006		
415	0.000		0.994		0.006		
420	0.000		0.994		0.006		
1013	0.000		0.994		0.006		
682	0.000		0.994		0.006		
431	0.000		0.994		0.006		
323	0.000		0.994		0.006		
634	0.000		0.994		0.006		
597	0.000		0.994		0.006		
259	0.000		0.994		0.006		
871	0.000		0.994		0.006		
383	0.000		0.994		0.006		
56	0.000		0.994		0.006		
193	0.000		0.994		0.006		
485	0.000		0.994		0.006		
71	0.000		0.994		0.006		
878	0.000		0.994		0.006		
900	0.000		0.994		0.006		
974	0.000		0.994		0.006		
125	0.000		0.994		0.006		
498	0.000		0.994		0.006		
40	0.000		0.994		0.006		
532	0.000		0.994		0.006		
1009	0.000		0.994		0.006		
39	0.000		0.994		0.006		
305	0.000		0.994		0.006		
677	0.000		0.994		0.006		
163	0.000		0.994		0.006		
515	0.000		0.994		0.006		
971	0.000		0.994		0.006		
179	0.000		0.994		0.006		
75	0.000		0.994		0.006		
183	0.000		0.994		0.006		
200	0.000		0.994		0.006		
389	0.000		0.994		0.006		
1015	0.000		0.994		0.006		
578	0.000		0.994		0.006		
528	0.000		0.994		0.006		
6	0.000		0.994		0.006		
489	0.000		0.994		0.006		
840	0.000		0.994		0.006		
98	0.000		0.994		0.006		
617	0.000		0.994		0.006		
539	0.000		0.994		0.006		
716	0.000		0.994		0.006		
609	0.000		0.994		0.006		
322	0.000		0.994		0.006		
908	0.000		0.994		0.006		
215	0.000		0.994		0.006		
742	0.000		0.994		0.006		
440	0.000		0.995		0.005		
555	0.000		0.995		0.005		
398	0.000		0.995		0.005		
15	0.000		0.995		0.005		
483	0.000		0.995		0.005		
810	0.000		0.995		0.005		
625	0.000		0.995		0.005		
701	0.000		0.995		0.005		
748	0.000		0.995		0.005		
973	0.000		0.995		0.005		
607	0.000		0.995		0.005		
143	0.000		0.995		0.005		
73	0.000		0.995		0.005		
835	0.000		0.995		0.005		
700	0.000		0.995		0.005		
460	0.000		0.995		0.005		
352	0.000		0.995		0.005		
534	0.000		0.995		0.005		
132	0.000		0.995		0.005		
805	0.000		0.995		0.005		
630	0.000		0.995		0.005		
508	0.000		0.995		0.005		
269	0.000		0.995		0.005		
749	0.000		0.995		0.005		
318	0.000		0.995		0.005		
913	0.000		0.995		0.005		
779	0.000		0.995		0.005		
753	0.000		0.995		0.005		
686	0.000		0.995		0.005		
301	0.000		0.995		0.005		
847	0.000		0.995		0.005		
372	0.000		0.995		0.005		
864	0.000		0.995		0.005		
152	0.000		0.995		0.005		
288	0.000		0.995		0.005		
1061	0.000		0.995		0.005		
465	0.000		0.995		0.005		
255	0.000		0.995		0.005		
68	0.000		0.995		0.005		
177	0.000		0.995		0.005		
1067	0.000		0.995		0.005		
417	0.000		0.995		0.005		
518	0.000		0.995		0.005		
192	0.000		0.995		0.005		
811	0.000		0.995		0.005		
985	0.000		0.995		0.005		
610	0.000		0.995		0.005		
29	0.000		0.995		0.005		
14	0.000		0.995		0.005		
62	0.000		0.995		0.005		
615	0.000		0.995		0.005		
972	0.000		0.995		0.005		
67	0.000		0.995		0.005		
61	0.000		0.995		0.005		
627	0.000		0.995		0.005		
861	0.000		0.995		0.005		
815	0.000		0.995		0.005		
296	0.000		0.995		0.005		
870	0.000		0.995		0.005		
929	0.000		0.995		0.005		
556	0.000		0.995		0.005		
1000	0.000		0.995		0.005		
175	0.000		0.995		0.005		
793	0.000		0.995		0.005		
265	0.000		0.995		0.005		
766	0.000		0.995		0.005		
343	0.000		0.995		0.005		
549	0.000		0.995		0.005		
311	0.000		0.995		0.005		
443	0.000		0.995		0.005		
675	0.000		0.995		0.005		
434	0.000		0.995		0.005		
137	0.000		0.995		0.005		
984	0.000		0.995		0.005		
379	0.000		0.995		0.005		
579	0.000		0.995		0.005		
876	0.000		0.996		0.004		
477	0.000		0.996		0.004		
324	0.000		0.996		0.004		
91	0.000		0.996		0.004		
23	0.000		0.996		0.004		
395	0.000		0.996		0.004		
195	0.000		0.996		0.004		
333	0.000		0.996		0.004		
1022	0.000		0.996		0.004		
437	0.000		0.996		0.004		
666	0.000		0.996		0.004		
536	0.000		0.996		0.004		
975	0.000		0.996		0.004		
991	0.000		0.996		0.004		
1068	0.000		0.996		0.004		
695	0.000		0.996		0.004		
812	0.000		0.996		0.004		
557	0.000		0.996		0.004		
201	0.000		0.996		0.004		
474	0.000		0.996		0.004		
405	0.000		0.996		0.004		
457	0.000		0.996		0.004		
794	0.000		0.996		0.004		
535	0.000		0.996		0.004		
112	0.000		0.996		0.004		
873	0.000		0.996		0.004		
1029	0.000		0.996		0.004		
297	0.673		0.323		0.004		
439	0.000		0.996		0.004		
898	0.000		0.996		0.004		
1050	0.000		0.996		0.004		
676	0.000		0.996		0.004		
927	0.666		0.33		0.004		
809	0.659		0.337		0.004		
612	0.671		0.326		0.004		
938	0.000		0.996		0.004		
930	0.000		0.996		0.004		
618	0.000		0.996		0.004		
81	0.000		0.996		0.004		
683	0.000		0.996		0.004		
355	0.657		0.339		0.004		
862	0.000		0.996		0.004		
110	0.000		0.996		0.004		
904	0.000		0.996		0.004		
149	0.000		0.996		0.004		
156	0.000		0.996		0.004		
88	0.000		0.996		0.004		
1041	0.653		0.343		0.004		
295	0.000		0.996		0.004		
582	0.653		0.343		0.004		
542	0.000		0.996		0.004		
207	0.669		0.328		0.004		
126	0.659		0.337		0.004		
362	0.659		0.338		0.004		
665	0.000		0.996		0.004		
638	0.656		0.341		0.004		
199	0.657		0.34		0.004		
386	0.653		0.343		0.004		
462	0.662		0.334		0.004		
92	0.661		0.335		0.004		
266	0.661		0.335		0.004		
337	0.656		0.341		0.004		
848	0.000		0.996		0.004		
719	0.666		0.33		0.004		
1047	0.655		0.342		0.004		
642	0.655		0.342		0.004		
392	0.666		0.33		0.004		
371	0.000		0.996		0.004		
302	0.665		0.331		0.004		
422	0.666		0.33		0.004		
370	0.000		0.996		0.004		
340	0.664		0.333		0.004		
252	0.659		0.338		0.004		
138	0.658		0.338		0.004		
759	0.000		0.996		0.004		
551	0.661		0.335		0.004		
115	0.000		0.997		0.003		
792	0.000		0.997		0.003		
396	0.666		0.33		0.003		
247	0.000		0.997		0.003		
218	0.678		0.319		0.003		
387	0.000		0.997		0.003		
836	0.67		0.326		0.003		
286	0.000		0.997		0.003		
668	0.000		0.997		0.003		
351	0.000		0.997		0.003		
447	0.000		0.997		0.003		
291	0.679		0.318		0.003		
502	0.000		0.997		0.003		
817	0.000		0.997		0.003		
89	0.000		0.997		0.003		
108	0.674		0.322		0.003		
944	0.000		0.997		0.003		
910	0.000		0.997		0.003		
705	0.000		0.997		0.003		
637	0.000		0.997		0.003		
799	0.000		0.997		0.003		
743	0.000		0.997		0.003		
511	0.000		0.997		0.003		
866	0.000		0.997		0.003		
206	0.000		0.997		0.003		
414	0.682		0.315		0.003		
74	0.000		0.997		0.003		
250	0.000		0.997		0.003		
755	0.686		0.311		0.003		
977	0.000		0.997		0.003		
830	0.000		0.997		0.003		
711	0.000		0.997		0.003		
869	0.000		0.997		0.003		
21	0.000		0.997		0.003		
170	0.698		0.299		0.003		
342	0.698		0.299		0.003		
212	0.698		0.299		0.003		
365	0.698		0.299		0.003		
580	0.698		0.299		0.003		
533	0.698		0.299		0.003		
997	0.000		0.997		0.003		
593	0.698		0.299		0.003		
237	0.698		0.299		0.003		
750	0.698		0.299		0.003		
99	0.698		0.299		0.003		
272	0.698		0.299		0.003		
224	0.698		0.299		0.003		
685	0.698		0.299		0.003		
670	0.698		0.299		0.003		
626	0.698		0.299		0.003		
326	0.698		0.299		0.003		
188	0.694		0.303		0.003		
246	0.000		0.997		0.003		
330	0.000		0.997		0.003		
473	0.693		0.304		0.003		
430	0.000		0.997		0.003		
969	0.698		0.299		0.003		
990	0.000		0.997		0.003		
803	0.000		0.997		0.003		
427	0.000		0.997		0.003		
1055	0.000		0.997		0.003		
741	0.000		0.997		0.003		
268	0.000		0.997		0.003		
942	0.000		0.997		0.003		
101	0.000		0.997		0.003		
403	0.000		0.997		0.003		
391	0.000		0.997		0.003		
363	0.000		0.997		0.003		
1064	0.694		0.303		0.003		
588	0.000		0.997		0.003		
798	0.000		0.997		0.003		
425	0.000		0.997		0.003		
704	0.705		0.292		0.003		
525	0.702		0.295		0.003		
857	0.000		0.997		0.003		
24	0.000		0.997		0.003		
204	0.000		0.997		0.003		
254	0.707		0.29		0.003		
709	0.707		0.29		0.003		
357	0.707		0.29		0.003		
424	0.707		0.29		0.003		
153	0.707		0.29		0.003		
227	0.707		0.29		0.003		
186	0.707		0.29		0.003		
859	0.707		0.29		0.003		
249	0.707		0.29		0.003		
312	0.707		0.29		0.003		
221	0.707		0.29		0.003		
55	0.707		0.29		0.003		
35	0.707		0.29		0.003		
285	0.000		0.997		0.003		
458	0.000		0.997		0.003		
841	0.000		0.997		0.003		
2	0.71		0.287		0.003		
888	0.000		0.997		0.003		
495	0.738		0.26		0.003		
185	0.712		0.286		0.003		
273	0.736		0.261		0.003		
158	0.726		0.272		0.003		
136	0.000		0.997		0.003		
496	0.714		0.284		0.003		
76	0.000		0.997		0.003		
36	0.712		0.285		0.003		
728	0.000		0.997		0.003		
754	0.000		0.997		0.003		
148	0.715		0.283		0.003		
573	0.000		0.997		0.003		
581	0.726		0.272		0.002		
832	0.000		0.998		0.002		
1035	0.717		0.28		0.002		
479	0.727		0.271		0.002		
576	0.000		0.998		0.002		
1001	0.729		0.268		0.002		
601	0.729		0.268		0.002		
964	0.729		0.269		0.002		
843	0.722		0.276		0.002		
887	0.722		0.276		0.002		
261	0.722		0.276		0.002		
970	0.722		0.276		0.002		
837	0.722		0.276		0.002		
197	0.722		0.276		0.002		
552	0.722		0.276		0.002		
60	0.722		0.276		0.002		
66	0.722		0.276		0.002		
364	0.722		0.275		0.002		
937	0.722		0.275		0.002		
744	0.731		0.266		0.002		
300	0.723		0.275		0.002		
399	0.000		0.998		0.002		
824	0.731		0.266		0.002		
202	0.732		0.266		0.002		
619	0.731		0.266		0.002		
757	0.733		0.265		0.002		
1053	0.73		0.268		0.002		
419	0.732		0.265		0.002		
1019	0.731		0.266		0.002		
20	0.736		0.261		0.002		
507	0.737		0.261		0.002		
320	0.737		0.261		0.002		
586	0.736		0.261		0.002		
180	0.737		0.261		0.002		
154	0.737		0.261		0.002		
481	0.737		0.261		0.002		
839	0.737		0.261		0.002		
470	0.737		0.261		0.002		
256	0.737		0.261		0.002		
129	0.737		0.261		0.002		
304	0.737		0.261		0.002		
280	0.737		0.261		0.002		
738	0.737		0.261		0.002		
592	0.737		0.261		0.002		
262	0.737		0.261		0.002		
358	0.737		0.261		0.002		
182	0.737		0.261		0.002		
189	0.737		0.261		0.002		
641	0.737		0.261		0.002		
83	0.737		0.261		0.002		
421	0.737		0.261		0.002		
684	0.734		0.263		0.002		
111	0.733		0.265		0.002		
730	0.732		0.266		0.002		
321	0.729		0.269		0.002		
235	0.735		0.262		0.002		
181	0.736		0.262		0.002		
114	0.000		0.998		0.002		
490	0.000		0.998		0.002		
644	0.735		0.263		0.002		
611	0.734		0.263		0.002		
707	0.734		0.263		0.002		
505	0.736		0.262		0.002		
299	0.736		0.262		0.002		
466	0.735		0.262		0.002		
69	0.738		0.26		0.002		
820	0.738		0.26		0.002		
1038	0.739		0.259		0.002		
220	0.739		0.259		0.002		
506	0.738		0.259		0.002		
550	0.731		0.266		0.002		
339	0.739		0.259		0.002		
251	0.74		0.258		0.002		
54	0.000		0.998		0.002		
778	0.000		0.998		0.002		
669	0.000		0.998		0.002		
807	0.746		0.252		0.002		
544	0.746		0.251		0.002		
531	0.746		0.251		0.002		
90	0.746		0.252		0.002		
608	0.746		0.252		0.002		
236	0.746		0.251		0.002		
240	0.746		0.251		0.002		
86	0.746		0.252		0.002		
1037	0.746		0.252		0.002		
373	0.746		0.252		0.002		
1010	0.746		0.252		0.002		
214	0.746		0.251		0.002		
1071	0.746		0.251		0.002		
646	0.746		0.252		0.002		
924	0.746		0.252		0.002		
758	0.746		0.252		0.002		
382	0.746		0.251		0.002		
375	0.746		0.251		0.002		
734	0.746		0.251		0.002		
27	0.746		0.251		0.002		
360	0.746		0.252		0.002		
647	0.746		0.251		0.002		
168	0.746		0.251		0.002		
223	0.763		0.235		0.002		
855	0.000		0.998		0.002		
747	0.748		0.25		0.002		
264	0.755		0.242		0.002		
82	0.000		0.998		0.002		
622	0.000		0.998		0.002		
65	0.753		0.245		0.002		
720	0.753		0.245		0.002		
548	0.754		0.244		0.002		
522	0.742		0.256		0.002		
401	0.742		0.256		0.002		
409	0.742		0.256		0.002		
721	0.742		0.256		0.002		
151	0.742		0.256		0.002		
140	0.742		0.256		0.002		
100	0.742		0.256		0.002		
176	0.742		0.256		0.002		
722	0.742		0.256		0.002		
867	0.742		0.256		0.002		
169	0.742		0.256		0.002		
468	0.742		0.256		0.002		
248	0.742		0.256		0.002		
589	0.742		0.256		0.002		
348	0.742		0.256		0.002		
354	0.742		0.256		0.002		
172	0.742		0.256		0.002		
1021	0.742		0.256		0.002		
435	0.742		0.256		0.002		
260	0.742		0.256		0.002		
155	0.756		0.242		0.002		
585	0.751		0.246		0.002		
955	0.000		0.998		0.002		
178	0.752		0.246		0.002		
693	0.752		0.246		0.002		
823	0.752		0.246		0.002		
257	0.752		0.246		0.002		
712	0.757		0.24		0.002		
219	0.752		0.246		0.002		
455	0.752		0.246		0.002		
459	0.752		0.246		0.002		
752	0.000		0.998		0.002		
856	0.000		0.998		0.002		
918	0.000		0.998		0.002		
692	0.000		0.998		0.002		
613	0.000		0.998		0.002		
404	0.761		0.237		0.002		
385	0.76		0.238		0.002		
726	0.000		0.998		0.002		
79	0.000		0.998		0.002		
699	0.000		0.998		0.002		
376	0.000		0.998		0.002		
338	0.735		0.263		0.002		
446	0.735		0.263		0.002		
493	0.735		0.263		0.002		
504	0.735		0.263		0.002		
540	0.735		0.263		0.002		
602	0.735		0.263		0.002		
735	0.735		0.263		0.002		
770	0.761		0.237		0.002		
416	0.761		0.237		0.002		
128	0.761		0.237		0.002		
903	0.76		0.237		0.002		
187	0.76		0.237		0.002		
271	0.761		0.237		0.002		
228	0.761		0.237		0.002		
952	0.000		0.998		0.002		
527	0.761		0.237		0.002		
191	0.761		0.237		0.002		
696	0.761		0.237		0.002		
150	0.761		0.237		0.002		
605	0.761		0.237		0.002		
842	0.000		0.998		0.002		
341	0.000		0.998		0.002		
965	0.766		0.232		0.002		
516	0.766		0.232		0.002		
19	0.766		0.232		0.002		
594	0.766		0.232		0.002		
708	0.766		0.232		0.002		
413	0.766		0.232		0.002		
418	0.766		0.232		0.002		
258	0.766		0.232		0.002		
222	0.765		0.233		0.002		
166	0.766		0.232		0.002		
909	0.766		0.232		0.002		
277	0.766		0.232		0.002		
34	0.766		0.232		0.002		
546	0.766		0.232		0.002		
232	0.766		0.232		0.002		
691	0.766		0.232		0.002		
275	0.768		0.23		0.002		
165	0.000		0.998		0.002		
11	0.766		0.232		0.002		
135	0.000		0.998		0.002		
606	0.000		0.998		0.002		
723	0.777		0.221		0.002		
1027	0.000		0.998		0.002		
782	0.000		0.998		0.002		
893	0.000		0.998		0.002		
628	0.000		0.998		0.002		
1043	0.000		0.998		0.002		
982	0.000		0.998		0.002		
105	0.000		0.998		0.002		
1020	0.000		0.998		0.002		
482	0.000		0.998		0.002		
157	0.77		0.228		0.002		
306	0.77		0.228		0.002		
344	0.77		0.228		0.002		
97	0.77		0.228		0.002		
521	0.77		0.228		0.002		
230	0.77		0.228		0.002		
554	0.78		0.218		0.002		
234	0.77		0.228		0.002		
253	0.77		0.228		0.002		
309	0.77		0.228		0.002		
451	0.77		0.228		0.002		
917	0.000		0.998		0.002		
41	0.000		0.998		0.002		
783	0.779		0.219		0.002		
410	0.779		0.219		0.002		
87	0.779		0.219		0.002		
671	0.779		0.219		0.002		
139	0.779		0.219		0.002		
315	0.779		0.219		0.002		
736	0.779		0.219		0.002		
603	0.779		0.219		0.002		
600	0.779		0.219		0.002		
270	0.779		0.219		0.002		
329	0.779		0.219		0.002		
356	0.77		0.228		0.002		
523	0.777		0.221		0.002		
332	0.000		0.998		0.002		
968	0.775		0.223		0.002		
717	0.000		0.998		0.002		
643	0.000		0.998		0.002		
745	0.000		0.998		0.002		
303	0.782		0.216		0.002		
298	0.000		0.998		0.002		
760	0.779		0.219		0.002		
229	0.78		0.219		0.002		
349	0.785		0.213		0.002		
361	0.779		0.219		0.002		
33	0.78		0.219		0.002		
797	0.000		0.998		0.002		
353	0.779		0.219		0.002		
267	0.779		0.219		0.002		
366	0.779		0.219		0.002		
828	0.779		0.219		0.002		
118	0.78		0.219		0.002		
529	0.78		0.219		0.002		
796	0.779		0.219		0.002		
687	0.779		0.219		0.002		
724	0.779		0.219		0.002		
526	0.779		0.219		0.002		
925	0.78		0.219		0.002		
1066	0.78		0.219		0.002		
