PG-BSM Model Fit Output - 04-Aug-2020

Branch Length Estimates

Daughter    Nul    BW    CW    rCW    nulRaMoSS    altRaMoSS    Parent
1	0.31	0.33	0.31	0.31	0.24	0.31	9
2	0.25	0.27	0.26	0.25	0.22	0.24	9
3	0.76	0.5	0.48	0.76	0.6	0.72	10
4	0.07	0.16	0.15	0.07	0.1	0.08	10
5	0.25	0.25	0.16	0.25	0.21	0.26	12
6	0.29	0.35	0.26	0.29	0.3	0.32	12
7	0.44	0.46	0.44	0.44	0.37	0.46	13
8	0.36	0.4	0.38	0.36	0.25	0.35	13
9	0.57	0.66	0.64	0.57	0.42	0.58	11
10	0.81	0.87	0.91	0.81	0.54	0.7	11
11	0.73	0.87	1	0.73	0.54	0.71	15
12	1.41	0.7	0.68	1.41	1.09	1.37	14
13	0.18	0.45	0.46	0.18	0.14	0.27	14
14	0.73	0.87	1	0.73	0.54	0.71	15

Log Likelihoods

Nul: -4129
BW: -4096
CW: -4087
rCW: -4129
nulRaMoSS: -4149
altRaMoSS: -4139

Nul PG-BSM MLEs

pi0     w1     w2     p1     delta     kappa     lambda
0.57	0.08	2.78	0.82	0.24	3.29	0.54	

BW PG-BSM MLEs

pi0     w1     w2     p1     delta     kappa     lambda     piBW
0.54	0.05	2.52	0.8	0.19	3.4	0.53	0.09	

CW PG-BSM MLEs

pi0     w1     w2     p1     delta     kappa     lambda     piCW
0.48	0.03	1.66	0.79	0.11	3.35	0.51	0.11	

rCW PG-BSM MLEs

pi0     w1     w2     p1     delta     kappa     lambda     pirCW
0.57	0.08	2.78	0.82	0.24	3.29	0.51	0	

nulRaMoSS MLEs

piCL    w1M3    w2M3    p1M3    w1CL    w2CL    p1CL    delta    kappa
0.72	0.1	1.28	0.89	0	0.41	0.77	0	2.7	

altRaMoSS MLEs

piCL    w1M3    w2M3    p1M3    w1CL    w2CL    p1CL    delta    kappa
0.77	0.18	0.85	0.73	0	5.2	0.96	0.06	3.25	

BW PG-BSM Posteriors

site     P(w=0)        P(w1<->w2)       P(BW)
63	0.000		0.99		0.01		
15	0.805		0.185		0.01		
194	0.805		0.185		0.01		
152	0.807		0.183		0.01		
129	0.811		0.18		0.009		
257	0.821		0.169		0.009		
207	0.805		0.185		0.009		
230	0.000		0.991		0.009		
39	0.807		0.184		0.009		
275	0.000		0.991		0.009		
266	0.811		0.18		0.009		
210	0.000		0.991		0.009		
113	0.815		0.176		0.008		
110	0.000		0.992		0.008		
290	0.000		0.992		0.008		
247	0.816		0.176		0.008		
155	0.815		0.177		0.008		
136	0.818		0.175		0.008		
295	0.000		0.992		0.008		
215	0.821		0.172		0.008		
169	0.000		0.993		0.007		
256	0.000		0.993		0.007		
81	0.812		0.181		0.007		
65	0.000		0.993		0.007		
259	0.000		0.993		0.007		
217	0.831		0.162		0.007		
224	0.807		0.187		0.007		
72	0.825		0.169		0.006		
61	0.816		0.178		0.006		
158	0.823		0.17		0.006		
101	0.000		0.994		0.006		
170	0.813		0.181		0.006		
272	0.823		0.171		0.006		
198	0.824		0.17		0.006		
229	0.824		0.171		0.006		
104	0.826		0.168		0.006		
235	0.825		0.17		0.006		
163	0.826		0.168		0.006		
121	0.824		0.171		0.006		
53	0.824		0.171		0.006		
77	0.827		0.168		0.005		
156	0.834		0.161		0.005		
67	0.835		0.16		0.005		
291	0.000		0.995		0.005		
284	0.000		0.995		0.005		
280	0.828		0.167		0.005		
132	0.826		0.169		0.004		
83	0.841		0.155		0.004		
181	0.000		0.996		0.004		
242	0.84		0.155		0.004		
49	0.841		0.155		0.004		
87	0.84		0.155		0.004		
212	0.841		0.155		0.004		
294	0.000		0.996		0.004		
292	0.831		0.165		0.004		
64	0.841		0.155		0.004		
160	0.835		0.161		0.004		
48	0.841		0.155		0.004		
74	0.841		0.155		0.004		
151	0.841		0.155		0.004		
226	0.841		0.155		0.004		
218	0.841		0.155		0.004		
204	0.000		0.996		0.004		
222	0.841		0.155		0.004		
51	0.841		0.155		0.004		
114	0.841		0.155		0.004		
252	0.841		0.155		0.004		
260	0.841		0.155		0.004		
31	0.841		0.155		0.004		
159	0.841		0.155		0.004		
153	0.841		0.155		0.004		
200	0.841		0.155		0.004		
196	0.841		0.155		0.004		
137	0.841		0.155		0.004		
188	0.000		0.996		0.004		
182	0.841		0.155		0.004		
176	0.825		0.172		0.003		
180	0.825		0.172		0.003		
105	0.845		0.151		0.003		
201	0.846		0.151		0.003		
192	0.846		0.151		0.003		
162	0.000		0.997		0.003		
220	0.843		0.154		0.003		
52	0.843		0.154		0.003		
191	0.849		0.148		0.003		
147	0.846		0.151		0.003		
249	0.846		0.151		0.003		
227	0.849		0.147		0.003		
287	0.846		0.151		0.003		
261	0.846		0.151		0.003		
38	0.846		0.151		0.003		
47	0.846		0.151		0.003		
106	0.846		0.151		0.003		
253	0.846		0.151		0.003		
271	0.846		0.151		0.003		
277	0.846		0.151		0.003		
285	0.846		0.151		0.003		
293	0.846		0.151		0.003		
150	0.85		0.147		0.003		
197	0.85		0.147		0.003		
139	0.849		0.148		0.003		
270	0.849		0.148		0.003		
251	0.85		0.147		0.003		
103	0.849		0.148		0.003		
193	0.849		0.148		0.003		
185	0.846		0.151		0.003		
225	0.846		0.151		0.003		
126	0.846		0.151		0.003		
25	0.000		0.997		0.003		
177	0.85		0.147		0.003		
276	0.849		0.148		0.003		
128	0.849		0.148		0.003		
213	0.85		0.147		0.003		
127	0.849		0.148		0.003		
269	0.849		0.148		0.003		
45	0.837		0.16		0.003		
172	0.828		0.17		0.003		
33	0.85		0.147		0.003		
96	0.828		0.169		0.003		
57	0.851		0.147		0.003		
55	0.85		0.147		0.003		
78	0.828		0.169		0.003		
264	0.828		0.169		0.003		
32	0.837		0.16		0.003		
59	0.85		0.147		0.003		
268	0.000		0.997		0.003		
112	0.837		0.16		0.003		
95	0.851		0.146		0.003		
186	0.837		0.16		0.003		
286	0.835		0.163		0.002		
157	0.837		0.16		0.002		
90	0.837		0.16		0.002		
94	0.835		0.163		0.002		
278	0.835		0.163		0.002		
116	0.835		0.163		0.002		
100	0.835		0.163		0.002		
71	0.835		0.163		0.002		
184	0.828		0.169		0.002		
202	0.855		0.143		0.002		
171	0.000		0.998		0.002		
173	0.855		0.143		0.002		
254	0.855		0.143		0.002		
228	0.855		0.143		0.002		
141	0.855		0.143		0.002		
205	0.835		0.162		0.002		
239	0.835		0.162		0.002		
274	0.859		0.139		0.002		
125	0.86		0.137		0.002		
46	0.000		0.998		0.002		
297	0.859		0.139		0.002		
62	0.836		0.162		0.002		
214	0.836		0.162		0.002		
299	0.836		0.162		0.002		
140	0.836		0.162		0.002		
231	0.836		0.162		0.002		
133	0.836		0.162		0.002		
296	0.836		0.162		0.002		
135	0.859		0.139		0.002		
108	0.858		0.14		0.002		
237	0.86		0.138		0.002		
14	0.861		0.137		0.002		
238	0.86		0.138		0.002		
165	0.861		0.137		0.002		
85	0.861		0.137		0.002		
244	0.862		0.136		0.002		
56	0.861		0.138		0.002		
209	0.863		0.136		0.002		
248	0.861		0.137		0.002		
97	0.861		0.138		0.002		
92	0.861		0.137		0.002		
99	0.861		0.137		0.002		
115	0.861		0.137		0.002		
250	0.859		0.14		0.002		
199	0.859		0.14		0.002		
84	0.863		0.135		0.002		
54	0.862		0.136		0.002		
149	0.859		0.14		0.002		
79	0.863		0.135		0.002		
206	0.863		0.135		0.002		
219	0.863		0.135		0.002		
203	0.859		0.14		0.002		
91	0.859		0.14		0.002		
154	0.863		0.135		0.002		
187	0.863		0.135		0.002		
167	0.863		0.135		0.002		
120	0.000		0.998		0.002		
273	0.000		0.998		0.002		
122	0.867		0.131		0.001		
118	0.867		0.131		0.001		
43	0.855		0.144		0.001		
175	0.855		0.144		0.001		
179	0.855		0.144		0.001		
36	0.855		0.144		0.001		
82	0.855		0.144		0.001		
145	0.855		0.144		0.001		
232	0.855		0.144		0.001		
44	0.844		0.155		0.001		
40	0.000		0.999		0.001		
86	0.000		0.999		0.001		
80	0.857		0.142		0.001		
279	0.879		0.12		0.001		
68	0.000		0.999		0.001		
246	0.879		0.12		0.001		
255	0.879		0.12		0.001		
76	0.879		0.12		0.001		
107	0.879		0.12		0.001		
265	0.879		0.12		0.001		
234	0.879		0.12		0.001		
41	0.879		0.12		0.001		
216	0.879		0.12		0.001		
111	0.868		0.132		0.001		
241	0.879		0.12		0.001		
283	0.867		0.132		0.001		
168	0.868		0.132		0.001		
124	0.868		0.132		0.001		
146	0.868		0.132		0.001		
236	0.868		0.132		0.001		
93	0.000		1		0		
211	0.000		1		0		
73	0.000		1		0		
161	0.000		1		0		
281	0.000		1		0		
223	0.000		1		0		
70	0.000		1		0		
102	0.000		1		0		
37	0.000		1		0		
35	0.000		1		0		
117	0.000		1		0		
134	0.000		1		0		
119	0.000		1		0		
34	0.000		1		0		
288	0.000		1		0		


CW PG-BSM Posteriors

site     P(w=0)        P(w1<->w2)       P(CW)
10	0.000		0.002		0.998		
24	0.000		0.003		0.997		
4	0.000		0.003		0.997		
20	0.000		0.004		0.996		
2	0.000		0.008		0.992		
7	0.000		0.008		0.992		
1	0.000		0.008		0.992		
29	0.000		0.009		0.991		
27	0.000		0.01		0.99		
30	0.000		0.012		0.988		
11	0.000		0.012		0.988		
23	0.000		0.013		0.987		
6	0.000		0.014		0.986		
262	0.000		0.015		0.985		
3	0.000		0.018		0.982		
17	0.000		0.04		0.96		
12	0.000		0.049		0.951		
123	0.000		0.052		0.948		
13	0.000		0.053		0.947		
8	0.000		0.058		0.942		
138	0.000		0.066		0.934		
178	0.000		0.073		0.927		
19	0.000		0.081		0.919		
18	0.000		0.107		0.893		
28	0.000		0.107		0.893		
5	0.000		0.11		0.89		
22	0.000		0.21		0.79		
25	0.000		0.253		0.747		
16	0.000		0.5		0.5		
21	0.000		0.533		0.467		
66	0.000		0.555		0.445		
26	0.000		0.606		0.394		
130	0.000		0.629		0.371		
267	0.000		0.634		0.366		
9	0.000		0.646		0.354		
143	0.000		0.686		0.314		
40	0.000		0.696		0.304		
233	0.000		0.708		0.292		
60	0.000		0.744		0.256		
258	0.000		0.761		0.239		
298	0.000		0.791		0.209		
69	0.000		0.818		0.182		
275	0.000		0.82		0.18		
164	0.000		0.847		0.153		
284	0.000		0.865		0.135		
89	0.000		0.895		0.105		
268	0.000		0.9		0.1		
174	0.000		0.9		0.1		
243	0.000		0.906		0.094		
46	0.000		0.926		0.074		
240	0.000		0.928		0.072		
166	0.000		0.931		0.069		
109	0.000		0.938		0.062		
221	0.000		0.943		0.057		
183	0.704		0.268		0.028		
188	0.000		0.975		0.025		
77	0.723		0.255		0.022		
230	0.000		0.98		0.02		
50	0.000		0.984		0.016		
300	0.000		0.985		0.015		
148	0.000		0.986		0.014		
189	0.000		0.987		0.013		
131	0.000		0.987		0.013		
294	0.000		0.988		0.012		
208	0.000		0.988		0.012		
171	0.000		0.988		0.012		
15	0.713		0.276		0.012		
42	0.000		0.988		0.012		
190	0.713		0.275		0.011		
129	0.717		0.271		0.011		
194	0.713		0.276		0.011		
58	0.000		0.989		0.011		
152	0.715		0.274		0.011		
88	0.000		0.99		0.01		
142	0.000		0.99		0.01		
245	0.000		0.99		0.01		
113	0.722		0.268		0.01		
289	0.000		0.991		0.009		
155	0.722		0.269		0.009		
207	0.714		0.277		0.009		
39	0.716		0.276		0.009		
263	0.000		0.991		0.009		
257	0.729		0.263		0.008		
247	0.724		0.268		0.008		
170	0.72		0.272		0.008		
144	0.000		0.992		0.008		
229	0.729		0.263		0.008		
198	0.729		0.263		0.008		
136	0.725		0.267		0.008		
282	0.000		0.992		0.008		
68	0.000		0.993		0.007		
235	0.73		0.262		0.007		
81	0.719		0.274		0.007		
98	0.000		0.993		0.007		
224	0.717		0.276		0.007		
266	0.72		0.273		0.007		
67	0.739		0.254		0.007		
65	0.000		0.993		0.007		
72	0.731		0.262		0.007		
61	0.723		0.27		0.006		
195	0.000		0.994		0.006		
104	0.733		0.261		0.006		
217	0.737		0.257		0.006		
163	0.733		0.261		0.006		
215	0.729		0.265		0.006		
256	0.000		0.994		0.006		
73	0.000		0.994		0.006		
37	0.000		0.994		0.006		
259	0.000		0.995		0.005		
295	0.000		0.995		0.005		
158	0.731		0.264		0.005		
75	0.000		0.995		0.005		
121	0.73		0.265		0.005		
272	0.73		0.265		0.005		
53	0.73		0.265		0.005		
156	0.739		0.256		0.005		
110	0.000		0.995		0.005		
210	0.000		0.995		0.005		
292	0.736		0.259		0.005		
176	0.729		0.267		0.005		
180	0.729		0.267		0.005		
169	0.000		0.995		0.005		
280	0.734		0.261		0.005		
132	0.732		0.264		0.004		
182	0.745		0.251		0.004		
87	0.745		0.251		0.004		
83	0.745		0.251		0.004		
63	0.000		0.996		0.004		
242	0.745		0.251		0.004		
151	0.745		0.251		0.004		
49	0.745		0.251		0.004		
212	0.745		0.251		0.004		
172	0.731		0.265		0.004		
160	0.739		0.257		0.004		
64	0.745		0.251		0.004		
48	0.746		0.251		0.004		
74	0.746		0.251		0.004		
226	0.746		0.251		0.004		
218	0.745		0.251		0.004		
51	0.746		0.251		0.004		
114	0.746		0.251		0.004		
252	0.746		0.251		0.004		
260	0.745		0.251		0.004		
31	0.745		0.251		0.004		
159	0.745		0.251		0.004		
222	0.746		0.251		0.004		
96	0.732		0.265		0.004		
181	0.000		0.996		0.004		
196	0.746		0.251		0.004		
153	0.746		0.251		0.004		
200	0.746		0.251		0.004		
137	0.746		0.251		0.004		
78	0.732		0.265		0.004		
264	0.732		0.264		0.004		
184	0.732		0.264		0.004		
220	0.747		0.25		0.004		
52	0.747		0.25		0.004		
249	0.75		0.247		0.003		
105	0.75		0.247		0.003		
201	0.75		0.247		0.003		
286	0.738		0.259		0.003		
94	0.738		0.259		0.003		
278	0.738		0.259		0.003		
45	0.741		0.256		0.003		
116	0.738		0.259		0.003		
100	0.738		0.259		0.003		
71	0.738		0.259		0.003		
186	0.741		0.256		0.003		
291	0.000		0.997		0.003		
185	0.75		0.247		0.003		
192	0.75		0.247		0.003		
147	0.75		0.247		0.003		
32	0.741		0.256		0.003		
112	0.741		0.256		0.003		
287	0.75		0.247		0.003		
261	0.75		0.247		0.003		
38	0.75		0.247		0.003		
47	0.75		0.247		0.003		
106	0.75		0.247		0.003		
253	0.75		0.247		0.003		
271	0.75		0.247		0.003		
277	0.75		0.247		0.003		
285	0.75		0.247		0.003		
293	0.75		0.247		0.003		
101	0.000		0.997		0.003		
225	0.75		0.247		0.003		
126	0.75		0.247		0.003		
90	0.741		0.256		0.003		
157	0.741		0.256		0.003		
205	0.739		0.258		0.003		
239	0.739		0.258		0.003		
227	0.753		0.244		0.003		
62	0.739		0.258		0.003		
204	0.000		0.997		0.003		
231	0.739		0.258		0.003		
214	0.739		0.258		0.003		
299	0.739		0.258		0.003		
140	0.739		0.258		0.003		
133	0.739		0.258		0.003		
296	0.739		0.258		0.003		
193	0.753		0.244		0.003		
270	0.753		0.244		0.003		
150	0.754		0.243		0.003		
197	0.754		0.243		0.003		
191	0.753		0.244		0.003		
128	0.753		0.245		0.003		
276	0.753		0.244		0.003		
139	0.753		0.244		0.003		
127	0.752		0.245		0.003		
269	0.752		0.245		0.003		
103	0.753		0.244		0.003		
33	0.754		0.243		0.003		
55	0.754		0.244		0.003		
57	0.754		0.243		0.003		
251	0.754		0.243		0.003		
177	0.754		0.243		0.003		
213	0.754		0.243		0.003		
59	0.754		0.243		0.003		
95	0.755		0.243		0.003		
35	0.000		0.997		0.003		
93	0.000		0.998		0.002		
117	0.000		0.998		0.002		
173	0.759		0.239		0.002		
254	0.759		0.239		0.002		
202	0.759		0.239		0.002		
228	0.759		0.239		0.002		
141	0.759		0.239		0.002		
80	0.759		0.239		0.002		
125	0.764		0.234		0.002		
297	0.763		0.235		0.002		
223	0.000		0.998		0.002		
108	0.761		0.237		0.002		
135	0.763		0.235		0.002		
290	0.000		0.998		0.002		
14	0.764		0.234		0.002		
238	0.764		0.235		0.002		
85	0.765		0.233		0.002		
56	0.764		0.234		0.002		
274	0.763		0.235		0.002		
99	0.764		0.234		0.002		
92	0.764		0.234		0.002		
248	0.765		0.234		0.002		
237	0.763		0.235		0.002		
250	0.762		0.236		0.002		
199	0.762		0.236		0.002		
149	0.762		0.236		0.002		
91	0.762		0.236		0.002		
203	0.762		0.236		0.002		
165	0.765		0.233		0.002		
97	0.764		0.234		0.002		
115	0.765		0.234		0.002		
244	0.765		0.233		0.002		
209	0.766		0.232		0.002		
43	0.758		0.24		0.002		
82	0.758		0.241		0.002		
175	0.758		0.24		0.002		
84	0.766		0.232		0.002		
54	0.766		0.233		0.002		
79	0.766		0.232		0.002		
206	0.767		0.232		0.002		
219	0.767		0.232		0.002		
154	0.767		0.232		0.002		
187	0.767		0.232		0.002		
179	0.758		0.241		0.002		
167	0.767		0.232		0.002		
36	0.758		0.24		0.002		
145	0.758		0.24		0.002		
232	0.758		0.24		0.002		
44	0.746		0.252		0.001		
122	0.771		0.228		0.001		
118	0.771		0.228		0.001		
162	0.000		0.999		0.001		
273	0.000		0.999		0.001		
34	0.000		0.999		0.001		
281	0.000		0.999		0.001		
70	0.000		0.999		0.001		
283	0.77		0.229		0.001		
111	0.77		0.229		0.001		
146	0.771		0.229		0.001		
168	0.771		0.229		0.001		
124	0.771		0.229		0.001		
134	0.000		0.999		0.001		
236	0.771		0.229		0.001		
279	0.783		0.217		0.001		
234	0.783		0.217		0.001		
246	0.783		0.217		0.001		
76	0.783		0.217		0.001		
265	0.783		0.217		0.001		
255	0.783		0.217		0.001		
107	0.783		0.217		0.001		
41	0.783		0.217		0.001		
216	0.783		0.217		0.001		
241	0.783		0.217		0.001		
288	0.000		0.999		0.001		
120	0.000		0.999		0.001		
86	0.000		0.999		0.001		
102	0.000		1		0		
211	0.000		1		0		
161	0.000		1		0		
119	0.000		1		0		


rCW PG-BSM Posteriors

site     P(w=0)        P(w1<->w2)       P(rCW)
281	0.000		1		0		
142	0.000		1		0		
65	0.000		1		0		
117	0.000		1		0		
35	0.000		1		0		
288	0.000		1		0		
273	0.000		1		0		
290	0.000		1		0		
223	0.000		1		0		
171	0.000		1		0		
294	0.000		1		0		
102	0.000		1		0		
211	0.000		1		0		
221	0.000		1		0		
119	0.000		1		0		
230	0.000		1		0		
58	0.000		1		0		
161	0.000		1		0		
109	0.000		1		0		
188	0.000		1		0		
134	0.000		1		0		
70	0.000		1		0		
291	0.000		1		0		
37	0.000		1		0		
98	0.000		1		0		
298	0.000		1		0		
68	0.000		1		0		
93	0.000		1		0		
256	0.000		1		0		
73	0.000		1		0		
66	0.000		1		0		
86	0.000		1		0		
148	0.000		1		0		
46	0.000		1		0		
34	0.000		1		0		
12	0.000		1		0		
166	0.000		1		0		
162	0.000		1		0		
259	0.000		1		0		
60	0.000		1		0		
174	0.000		1		0		
42	0.000		1		0		
120	0.000		1		0		
23	0.000		1		0		
284	0.000		1		0		
26	0.000		1		0		
164	0.000		1		0		
243	0.000		1		0		
295	0.000		1		0		
263	0.000		1		0		
11	0.000		1		0		
131	0.000		1		0		
40	0.000		1		0		
181	0.000		1		0		
208	0.000		1		0		
75	0.000		1		0		
6	0.000		1		0		
289	0.000		1		0		
178	0.000		1		0		
282	0.000		1		0		
63	0.000		1		0		
262	0.000		1		0		
21	0.000		1		0		
13	0.000		1		0		
50	0.000		1		0		
245	0.000		1		0		
275	0.000		1		0		
300	0.000		1		0		
19	0.000		1		0		
195	0.000		1		0		
138	0.000		1		0		
169	0.000		1		0		
144	0.000		1		0		
210	0.000		1		0		
16	0.000		1		0		
110	0.000		1		0		
88	0.000		1		0		
224	0.85		0.15		0		
18	0.000		1		0		
28	0.000		1		0		
101	0.000		1		0		
233	0.000		1		0		
25	0.000		1		0		
240	0.000		1		0		
9	0.000		1		0		
204	0.000		1		0		
3	0.000		1		0		
268	0.000		1		0		
69	0.000		1		0		
258	0.000		1		0		
170	0.856		0.144		0		
130	0.000		1		0		
2	0.000		1		0		
143	0.000		1		0		
30	0.000		1		0		
8	0.000		1		0		
267	0.000		1		0		
189	0.000		1		0		
89	0.000		1		0		
39	0.851		0.149		0		
266	0.855		0.145		0		
123	0.000		1		0		
22	0.000		1		0		
152	0.851		0.149		0		
5	0.000		1		0		
81	0.855		0.145		0		
207	0.849		0.151		0		
61	0.86		0.14		0		
17	0.000		1		0		
190	0.85		0.15		0		
194	0.849		0.151		0		
247	0.863		0.137		0		
15	0.849		0.151		0		
292	0.877		0.123		0		
158	0.869		0.131		0		
155	0.858		0.142		0		
29	0.000		1		0		
129	0.855		0.145		0		
280	0.874		0.126		0		
113	0.86		0.14		0		
136	0.863		0.137		0		
20	0.000		1		0		
132	0.872		0.128		0		
163	0.872		0.128		0		
272	0.869		0.131		0		
121	0.869		0.131		0		
104	0.872		0.128		0		
235	0.869		0.131		0		
229	0.868		0.132		0		
217	0.875		0.125		0		
215	0.866		0.134		0		
257	0.871		0.129		0		
183	0.852		0.148		0		
53	0.869		0.131		0		
72	0.871		0.129		0		
198	0.869		0.131		0		
7	0.000		1		0		
160	0.879		0.121		0		
1	0.000		1		0		
4	0.000		1		0		
156	0.881		0.119		0		
31	0.888		0.112		0		
159	0.888		0.112		0		
242	0.888		0.112		0		
260	0.888		0.112		0		
196	0.888		0.112		0		
218	0.888		0.112		0		
222	0.888		0.112		0		
137	0.888		0.112		0		
87	0.888		0.112		0		
226	0.888		0.112		0		
48	0.888		0.112		0		
74	0.888		0.112		0		
64	0.888		0.112		0		
153	0.888		0.112		0		
200	0.888		0.112		0		
151	0.888		0.112		0		
212	0.888		0.112		0		
252	0.888		0.112		0		
51	0.888		0.112		0		
114	0.888		0.112		0		
49	0.888		0.112		0		
83	0.888		0.112		0		
67	0.882		0.118		0		
77	0.871		0.129		0		
213	0.897		0.103		0		
270	0.896		0.104		0		
182	0.887		0.113		0		
193	0.896		0.104		0		
220	0.89		0.11		0		
276	0.896		0.104		0		
52	0.89		0.11		0		
139	0.897		0.103		0		
33	0.897		0.103		0		
59	0.898		0.102		0		
103	0.897		0.103		0		
227	0.897		0.103		0		
197	0.897		0.103		0		
55	0.897		0.103		0		
192	0.893		0.107		0		
261	0.893		0.107		0		
185	0.893		0.107		0		
105	0.893		0.107		0		
177	0.897		0.103		0		
147	0.893		0.107		0		
128	0.896		0.104		0		
287	0.893		0.107		0		
176	0.869		0.131		0		
180	0.869		0.131		0		
126	0.894		0.106		0		
201	0.893		0.107		0		
249	0.893		0.107		0		
38	0.894		0.106		0		
47	0.894		0.106		0		
106	0.894		0.106		0		
253	0.894		0.106		0		
271	0.894		0.106		0		
277	0.894		0.106		0		
285	0.894		0.106		0		
293	0.894		0.106		0		
225	0.894		0.106		0		
191	0.896		0.104		0		
184	0.873		0.127		0		
78	0.873		0.127		0		
172	0.873		0.127		0		
150	0.898		0.102		0		
127	0.896		0.104		0		
269	0.896		0.104		0		
264	0.873		0.127		0		
96	0.873		0.127		0		
251	0.898		0.102		0		
95	0.898		0.102		0		
57	0.898		0.102		0		
116	0.88		0.12		0		
100	0.88		0.12		0		
71	0.88		0.12		0		
286	0.88		0.12		0		
278	0.88		0.12		0		
94	0.88		0.12		0		
157	0.884		0.116		0		
112	0.883		0.117		0		
45	0.883		0.117		0		
186	0.884		0.116		0		
90	0.884		0.116		0		
32	0.884		0.116		0		
140	0.881		0.119		0		
214	0.881		0.119		0		
231	0.881		0.119		0		
133	0.881		0.119		0		
62	0.881		0.119		0		
296	0.881		0.119		0		
299	0.881		0.119		0		
205	0.881		0.119		0		
239	0.881		0.119		0		
228	0.903		0.097		0		
44	0.891		0.109		0		
202	0.903		0.097		0		
173	0.903		0.097		0		
254	0.903		0.097		0		
141	0.903		0.097		0		
135	0.907		0.093		0		
